folderCode,rootSet,rootSelection,setFile,nodeId,nodeType,lineCount,payloadPreview,detectedPrefixes,mappedCategory,mappedSubcategory,mappedSubmenu,chosenPrefix,notes
Fswa,Fswa.set,Fswa1,,,folder_only,,,Fswa | FswaPipeTable,,,,,
Ftbw,Ftbw.set,Ftbw1,ftbw1.set,Ftbw1,set_node,28,16 | 300# | RF | STD | 14,Cap | CapSTD | CapXS | CapXXS | Ftbw | ftbw | FTBW | Reducers | ReducersSTD | ReducersXS | ReducersXXS | ReducingTee | ReducingTeeSTD | ReducingTeeXS | ReducingTeeXXS | Return | ReturnSTD | ReturnXS | ReturnXXS | ShortRadiusReturn | ShortRadiusReturnSTD | ShortRadiusReturnXS | ShortRadiusReturnXXS | StraightTee | StraightTeeSTD | StraightTeeXS | StraightTeeXXS | StubEnd,,,,,
Ftbw,Ftbw.set,Ftbw1,ftbw2.set,Ftbw2,set_node,28,16 | 300# | RF | STD | 14,Cap | CapSTD | CapXS | CapXXS | Ftbw | ftbw | FTBW | Reducers | ReducersSTD | ReducersXS | ReducersXXS | ReducingTee | ReducingTeeSTD | ReducingTeeXS | ReducingTeeXXS | Return | ReturnSTD | ReturnXS | ReturnXXS | ShortRadiusReturn | ShortRadiusReturnSTD | ShortRadiusReturnXS | ShortRadiusReturnXXS | StraightTee | StraightTeeSTD | StraightTeeXS | StraightTeeXXS | StubEnd,,,,,
Ftbw,Ftbw.set,Ftbw1,ftbw3.set,Ftbw3,set_node,28,16 | 300# | RF | STD | 14,Cap | CapSTD | CapXS | CapXXS | Ftbw | ftbw | FTBW | Reducers | ReducersSTD | ReducersXS | ReducersXXS | ReducingTee | ReducingTeeSTD | ReducingTeeXS | ReducingTeeXXS | Return | ReturnSTD | ReturnXS | ReturnXXS | ShortRadiusReturn | ShortRadiusReturnSTD | ShortRadiusReturnXS | ShortRadiusReturnXXS | StraightTee | StraightTeeSTD | StraightTeeXS | StraightTeeXXS | StubEnd,,,,,
Ftbw,Ftbw.set,Ftbw1,ftbw4.set,Ftbw4,set_node,28,16 | 300# | RF | STD | 14,Cap | CapSTD | CapXS | CapXXS | Ftbw | ftbw | FTBW | Reducers | ReducersSTD | ReducersXS | ReducersXXS | ReducingTee | ReducingTeeSTD | ReducingTeeXS | ReducingTeeXXS | Return | ReturnSTD | ReturnXS | ReturnXXS | ShortRadiusReturn | ShortRadiusReturnSTD | ShortRadiusReturnXS | ShortRadiusReturnXXS | StraightTee | StraightTeeSTD | StraightTeeXS | StraightTeeXXS | StubEnd,,,,,
Ftbw,Ftbw.set,Ftbw1,ftbw5.set,Ftbw5,set_node,28,16 | 300# | RF | STD | 14,Cap | CapSTD | CapXS | CapXXS | Ftbw | ftbw | FTBW | Reducers | ReducersSTD | ReducersXS | ReducersXXS | ReducingTee | ReducingTeeSTD | ReducingTeeXS | ReducingTeeXXS | Return | ReturnSTD | ReturnXS | ReturnXXS | ShortRadiusReturn | ShortRadiusReturnSTD | ShortRadiusReturnXS | ShortRadiusReturnXXS | StraightTee | StraightTeeSTD | StraightTeeXS | StraightTeeXXS | StubEnd,,,,,
Ftbw,Ftbw.set,Ftbw1,ftbw6.set,Ftbw6,set_node,28,16 | 300# | RF | STD | 14,Cap | CapSTD | CapXS | CapXXS | Ftbw | ftbw | FTBW | Reducers | ReducersSTD | ReducersXS | ReducersXXS | ReducingTee | ReducingTeeSTD | ReducingTeeXS | ReducingTeeXXS | Return | ReturnSTD | ReturnXS | ReturnXXS | ShortRadiusReturn | ShortRadiusReturnSTD | ShortRadiusReturnXS | ShortRadiusReturnXXS | StraightTee | StraightTeeSTD | StraightTeeXS | StraightTeeXXS | StubEnd,,,,,
Ftbw,Ftbw.set,Ftbw1,ftbw7.set,Ftbw7,set_node,28,16 | 300# | RF | STD | 14,Cap | CapSTD | CapXS | CapXXS | Ftbw | ftbw | FTBW | Reducers | ReducersSTD | ReducersXS | ReducersXXS | ReducingTee | ReducingTeeSTD | ReducingTeeXS | ReducingTeeXXS | Return | ReturnSTD | ReturnXS | ReturnXXS | ShortRadiusReturn | ShortRadiusReturnSTD | ShortRadiusReturnXS | ShortRadiusReturnXXS | StraightTee | StraightTeeSTD | StraightTeeXS | StraightTeeXXS | StubEnd,,,,,
Ftbw,Ftbw.set,Ftbw1,ftbw8.set,Ftbw8,set_node,28,16 | 300# | RF | STD | 14,Cap | CapSTD | CapXS | CapXXS | Ftbw | ftbw | FTBW | Reducers | ReducersSTD | ReducersXS | ReducersXXS | ReducingTee | ReducingTeeSTD | ReducingTeeXS | ReducingTeeXXS | Return | ReturnSTD | ReturnXS | ReturnXXS | ShortRadiusReturn | ShortRadiusReturnSTD | ShortRadiusReturnXS | ShortRadiusReturnXXS | StraightTee | StraightTeeSTD | StraightTeeXS | StraightTeeXXS | StubEnd,,,,,
Ftbw,Ftbw.set,Ftbw1,ftbw9.set,Ftbw9,set_node,28,16 | 300# | RF | STD | 14,Cap | CapSTD | CapXS | CapXXS | Ftbw | ftbw | FTBW | Reducers | ReducersSTD | ReducersXS | ReducersXXS | ReducingTee | ReducingTeeSTD | ReducingTeeXS | ReducingTeeXXS | Return | ReturnSTD | ReturnXS | ReturnXXS | ShortRadiusReturn | ShortRadiusReturnSTD | ShortRadiusReturnXS | ShortRadiusReturnXXS | StraightTee | StraightTeeSTD | StraightTeeXS | StraightTeeXXS | StubEnd,,,,,
